Tipo;Nome;Lat;Lon
McDonalds;McDonalds 2a Circular;38.762883;-9.140344
McDonalds;McDonalds Aboboda;38.721948;-9.33864
McDonalds;McDonalds Abrantes;39.475363;-8.190586
McDonalds;McDonalds Aeroporto de Lisboa T1;38.768956;-9.129578
McDonalds;McDonalds Aeroporto de Lisboa T2;38.7688;-9.12943
McDonalds;McDonalds Águeda;40.594886;-8.457528
McDonalds;McDonalds Albufeira;37.091328;-8.243242
McDonalds;McDonalds Alegro Alfragide;38.727253;-9.21815
McDonalds;McDonalds Alegro Setubal;38.53714;-8.87605
McDonalds;McDonalds Algarve Shopping;37.127992;-8.280656
McDonalds;McDonalds Alges;38.699686;-9.228178
McDonalds;McDonalds Alma Shopping;40.204586;-8.40765
McDonalds;McDonalds Almada Centro;38.678919;-9.156922
McDonalds;McDonalds Almada Drive;38.662044;-9.165488
McDonalds;McDonalds Almada Forum;38.659303;-9.173581
McDonalds;McDonalds Alvalade;38.753019;-9.143444
McDonalds;McDonalds Alverca Auchan;38.888383;-9.044264
McDonalds;McDonalds Alverca Drive;38.888142;-9.048497
McDonalds;McDonalds Amadora;38.759953;-9.237058
McDonalds;McDonalds Amoreiras;38.723764;-9.162253
McDonalds;McDonalds Antas;41.163819;-8.590003
McDonalds;McDonalds Aqua Portimao;37.1475;-8.543611
McDonalds;McDonalds Arena Shopping;39.100983;-9.253678
McDonalds;McDonalds Arrabida Shopping;41.140614;-8.636067
McDonalds;McDonalds Aveiro CC Glicinias;40.627111;-8.64545
McDonalds;McDonalds Aveiro Pingo Doce;40.651658;-8.620597
McDonalds;McDonalds Aveiro Universidade;40.632371;-8.65052
McDonalds;McDonalds B Planet Coina;38.582186;-9.043339
McDonalds;McDonalds Barcelos;41.538461;-8.619908
McDonalds;McDonalds Barreiro;38.662014;-9.076003
McDonalds;McDonalds Beja;38.003839;-7.866342
McDonalds;McDonalds Bela Vista;38.749711;-9.116428
McDonalds;McDonalds Belem;38.697036;-9.203328
McDonalds;McDonalds Birre;38.715251;-9.446847
McDonalds;McDonalds Boavista;41.160219;-8.644256
McDonalds;McDonalds Bom Sucesso;41.155125;-8.630197
McDonalds;McDonalds Braga Av Central;41.551219;-8.422042
McDonalds;McDonalds Braga Gualtar;41.557142;-8.396786
McDonalds;McDonalds Braga Maximinos;41.540941;-8.430826
McDonalds;McDonalds Braga Minho Center;41.541281;-8.401542
McDonalds;McDonalds Braga Parque;41.558371;-8.406787
McDonalds;McDonalds Braganca;41.797264;-6.771741
McDonalds;McDonalds Caldas da Rainha;39.412536;-9.134472
McDonalds;McDonalds Campo Grande;38.754;-9.1527
McDonalds;McDonalds Campus S Joao;41.180133;-8.604247
McDonalds;McDonalds Carnaxide;38.723397;-9.235108
McDonalds;McDonalds Carregado;39.028886;-8.965694
McDonalds;McDonalds Cascais Largo da Estacao;38.700033;-9.418672
McDonalds;McDonalds Cascais Shopping;38.738225;-9.398936
McDonalds;McDonalds Castelo Branco Drive;39.806319;-7.512406
McDonalds;McDonalds CC 8a Avenida;40.887772;-8.491468
McDonalds;McDonalds Charneca da Caparica;38.612997;-9.189383
McDonalds;McDonalds Chaves;41.732125;-7.469325
McDonalds;McDonalds Chiado;38.710956;-9.139586
McDonalds;McDonalds Circunvalacao;41.18466;-8.605235
McDonalds;McDonalds Coimbra Fernao Magalhaes;40.217006;-8.437661
McDonalds;McDonalds Coimbra Forum;40.211236;-8.444053
McDonalds;McDonalds Coimbra Solum;40.204108;-8.403936
McDonalds;McDonalds Coimbra Shopping;40.194383;-8.409372
McDonalds;McDonalds Colombo;38.753997;-9.189786
McDonalds;McDonalds Corroios;38.639214;-9.151011
McDonalds;McDonalds Covilha Drive;40.263786;-7.490778
McDonalds;McDonalds Covilha Serra Shopping;40.270893;-7.50171
McDonalds;McDonalds D Carlos I;38.707019;-9.152803
McDonalds;McDonalds Dolce Vita Tejo;38.7781;-9.2195
McDonalds;McDonalds Ermesinde;41.205633;-8.548136
McDonalds;McDonalds Espaco Guimaraes;41.448826;-8.344019
McDonalds;McDonalds Espinho;41.015774;-8.639445
McDonalds;McDonalds Évora;38.562197;-7.9261
McDonalds;McDonalds Évora Plaza;38.549543;-7.905694
McDonalds;McDonalds Famalicao;41.414889;-8.520056
McDonalds;McDonalds Faro;37.016839;-7.935567
McDonalds;McDonalds Faro Forum Algarve;37.028956;-7.945439
McDonalds;McDonalds Fatima;39.635364;-8.683015
McDonalds;McDonalds Feira Drive;40.922682;-8.564873
McDonalds;McDonalds Felgueiras;41.359261;-8.204372
McDonalds;McDonalds Figueira da Foz;40.164967;-8.8525
McDonalds;McDonalds Forum Barreiro;38.662347;-9.074514
McDonalds;McDonalds Forum Castelo Branco;39.807994;-7.515618
McDonalds;McDonalds Forum de Aveiro;40.640867;-8.652614
McDonalds;McDonalds Gaia Drive;41.130114;-8.596892
McDonalds;McDonalds Gaia Fojo;41.125047;-8.634764
McDonalds;McDonalds Gaia Shopping;41.118611;-8.622314
McDonalds;McDonalds Gondomar;41.136491;-8.537038
McDonalds;McDonalds Gondomar Parque Nascente;41.175225;-8.565569
McDonalds;McDonalds Guarda;40.542625;-7.239719
McDonalds;McDonalds Guimaraes Drive;41.431208;-8.301697
McDonalds;McDonalds Guimaraes Shopping;41.440575;-8.30385
McDonalds;McDonalds Imperial Aliados Porto;41.146658;-8.610931
McDonalds;McDonalds Jardim Zoologico;38.742454;-9.170426
McDonalds;McDonalds Lagos;37.113464;-8.681764
McDonalds;McDonalds Largo do Chiado;38.710648;-9.142677
McDonalds;McDonalds Leca da Palmeira;41.19255;-8.705814
McDonalds;McDonalds Leiria D Dinis;39.739868;-8.81848
McDonalds;McDonalds Leiria Drive;39.735331;-8.799719
McDonalds;McDonalds Leiria Shopping;39.732611;-8.824808
McDonalds;McDonalds Loule;37.139444;-8.029722
McDonalds;McDonalds Loule Mar Shopping;37.09859;-7.995924
McDonalds;McDonalds Loures Shopping;38.833131;-9.156261
McDonalds;McDonalds Lourosa;40.977792;-8.536636
McDonalds;McDonalds Mafra;38.9429;-9.342236
McDonalds;McDonalds Maia;41.248867;-8.621386
McDonalds;McDonalds Maia Centro;41.226514;-8.618231
McDonalds;McDonalds Maia Shopping;41.220647;-8.562358
McDonalds;McDonalds Mar Shopping;41.209353;-8.688425
McDonalds;McDonalds Marco de Canaveses;41.178241;-8.151968
McDonalds;McDonalds Marechal Gomes da Costa;38.757141;-9.113148
McDonalds;McDonalds Marinha Grande;39.734364;-8.933414
McDonalds;McDonalds Massama Norte;38.767028;-9.278733
McDonalds;McDonalds Massama Sul;38.753314;-9.268467
McDonalds;McDonalds Matosinhos;41.179095;-8.690907
McDonalds;McDonalds Mem Martins;38.780783;-9.349147
McDonalds;McDonalds Merces;38.800628;-9.326003
McDonalds;McDonalds Montijo Alegro;38.6954;-8.942219
McDonalds;McDonalds Montijo Drive;38.703118;-8.945158
McDonalds;McDonalds Norte Shopping;41.180875;-8.654308
McDonalds;McDonalds Odivelas;38.794578;-9.181378
McDonalds;McDonalds Oeiras;38.685331;-9.313169
McDonalds;McDonalds Oeiras A5;38.714764;-9.287103
McDonalds;McDonalds Oeiras Parque;38.704308;-9.302031
McDonalds;McDonalds Olhao;37.030144;-7.851189
McDonalds;McDonalds Pacos Ferreira;41.284394;-8.360919
McDonalds;McDonalds Padre Cruz;38.762825;-9.163553
McDonalds;McDonalds Palacio do Gelo;40.643464;-7.911117
McDonalds;McDonalds Palmela;38.566986;-8.888267
McDonalds;McDonalds Parque das Nacões;38.763622;-9.095701
McDonalds;McDonalds Penafiel;41.1941;-8.301892
McDonalds;McDonalds Pinhal Novo;38.636831;-8.913944
McDonalds;McDonalds Ponte de Lima;41.758748;-8.585445
McDonalds;McDonalds Portalegre;39.283787;-7.432943
McDonalds;McDonalds Portimao Drive;37.132675;-8.545861
McDonalds;McDonalds Porto Alameda Shopping;41.163544;-8.584201
McDonalds;McDonalds Porto Alto;38.922585;-8.885038
McDonalds;McDonalds Queluz;38.756444;-9.254519
McDonalds;McDonalds Restelo;38.711081;-9.213736
McDonalds;McDonalds Rio Tinto;41.173578;-8.552578
McDonalds;McDonalds Rodrigo da Fonseca;38.721975;-9.152494
McDonalds;McDonalds Roma;38.741944;-9.13815
McDonalds;McDonalds Rossio;38.714325;-9.139022
McDonalds;McDonalds Sacavem;38.791586;-9.103745
McDonalds;McDonalds Saldanha;38.737298;-9.144917
McDonalds;McDonalds Santarem;39.244506;-8.689344
McDonalds;McDonalds Sao Joao da Madeira;40.894178;-8.480606
McDonalds;McDonalds Seixal A2;38.62245;-9.133564
McDonalds;McDonalds Seixal Rio Sul Shopping;38.612719;-9.105261
McDonalds;McDonalds Setubal Centro;38.523331;-8.890839
McDonalds;McDonalds Setubal Drive;38.531883;-8.897307
McDonalds;McDonalds Sines;37.96382;-8.857447
McDonalds;McDonalds Sintra Alegro;38.754861;-9.339897
McDonalds;McDonalds Sintra Retail Park;38.776956;-9.335519
McDonalds;McDonalds Spacio Shopping;38.761894;-9.114864
McDonalds;McDonalds Strada Shopping;38.781156;-9.192131
McDonalds;McDonalds Tagus Park;38.751461;-9.307028
McDonalds;McDonalds Telheiras;38.764517;-9.176817
McDonalds;McDonalds Tomar;39.603158;-8.398594
McDonalds;McDonalds Torres Novas;39.471428;-8.540217
McDonalds;McDonalds Torres Vedras;39.082778;-9.262133
McDonalds;McDonalds Trofa;41.326549;-8.568413
McDonalds;McDonalds Vasco da Gama;38.767733;-9.0977
McDonalds;McDonalds Via Catarina;41.149111;-8.605944
McDonalds;McDonalds Viana do Castelo;41.695464;-8.832044
McDonalds;McDonalds Viana do Castelo Drive;41.701508;-8.819006
McDonalds;McDonalds Vila do Conde;41.367667;-8.750144
McDonalds;McDonalds Vila do Conde Porto Fashion Outlet;41.301614;-8.707171
McDonalds;McDonalds Vila Franca de Xira;38.963823;-8.984121
McDonalds;McDonalds Vila Real;41.292297;-7.735783
McDonalds;McDonalds Vila Real de Santo Antonio;37.190602;-7.435764
McDonalds;McDonalds Vila Real Nosso Shopping;41.297272;-7.734442
McDonalds;McDonalds Vilamoura;37.077667;-8.115828
McDonalds;McDonalds Viseu Drive;40.648947;-7.918667
