Nome;Lat;Lon;DISTRITO;GRUPONATUREZA;ENSINOS
Conservatório de Música de Águeda;40.572815;-8.447652;Aveiro;Privado;M
Escola Secundária Adolfo Portela, Águeda;40.583378;-8.448261;Aveiro;Público;DE
Instituto Duarte Lemos;40.60992;-8.470444;Aveiro;Privado;BCD
Escola Básica de Aguada de Cima, Águeda;40.51993;-8.414817;Aveiro;Público;ABCD
Escola Básica Professor Artur Nunes Vidal, Fermentelos, Águeda;40.557827;-8.528682;Aveiro;Público;ABCD
Escola Secundária Marques de Castilho, Águeda;40.575718;-8.440658;Aveiro;Público;DE
Escola Básica Fernando Caldeira, Águeda;40.579758;-8.449419;Aveiro;Público;BCD
Escola Básica de Valongo do Vouga, Águeda;40.615623;-8.429576;Aveiro;Público;ABCD
ART´J - Escola profissional de Artes Performativas da Jobra;40.747505;-8.4884617;Aveiro;Privado;O
Colégio de Albergaria;40.703484;-8.483114;Aveiro;Privado;ABCDE
Conservatório de Música da Jobra;40.747715;-8.486414;Aveiro;Privado;MO
Escola Básica de Albergaria-a-Velha;40.686153;-8.479374;Aveiro;Público;BCD
Escola Básica de São João de Loure, Albergaria-a-Velha;40.639477;-8.547883;Aveiro;Público;BCD
Escola Secundária de Albergaria-a-Velha;40.686897;-8.478916;Aveiro;Público;DE
Escola Básica de Branca, Albergaria-a-Velha;40.748325;-8.4841;Aveiro;Público;CD
Colégio de Nossa Senhora da Assunção;40.451527;-8.4495535;Aveiro;Privado;BCDE
Escola Profissional de Viticultura e Enologia da Bairrada;40.43976;-8.43912;Aveiro;Privado;O
Salesianos de Mogofores - Colégio;40.452152;-8.461919;Aveiro;Privado;CD
Escola Básica de Vilarinho do Bairro, Anadia;40.417583;-8.526803;Aveiro;Público;BCD
Escola Básica e Secundária de Anadia;40.439705;-8.448284;Aveiro;Público;CDE
Academia de Música de Arouca;40.92814;-8.249896;Aveiro;Privado;M
Escola Básica de Arouca;40.929855;-8.251982;Aveiro;Público;CD
Escola Secundária de Arouca;40.92899;-8.251472;Aveiro;Público;DE
Escola Básica e Secundária de Escariz, Arouca;40.944485;-8.404772;Aveiro;Público;ABCDE
Centro Educativo Dr. Alberto Souto;40.605938;-8.639137;Aveiro;Público;CD
Colégio D. José I;40.632225;-8.606533;Aveiro;Privado;ABCDE
Colégio Português (ENSIGEST)- Empreendimentos Educativos Lda;40.65952;-8.616055;Aveiro;Privado;ABCD
EFTA - Escola de Formação Profissional em Turismo de Aveiro, Lda.;40.641632;-8.64641;Aveiro;Privado;O
Escola Artística do Conservatório de Música Calouste Gulbenkian, Aveiro;40.63616;-8.655822;Aveiro;Público;CDEM
Escola Profissional de Aveiro;40.646828;-8.645789;Aveiro;Privado;DO
Estabelecimento de Ensino de Santa Joana;40.643677;-8.651245;Aveiro;Privado;BCD
Escola Básica João Afonso, Aveiro;40.632544;-8.654108;Aveiro;Público;CD
Escola Secundária Homem Cristo, Aveiro;40.64039;-8.654735;Aveiro;Público;E
Escola Básica de Eixo, Aveiro;40.627343;-8.56747;Aveiro;Público;ABCD
Escola Básica e Secundária Dr. Jaime Magalhães Lima, Esgueira, Aveiro;40.644993;-8.632158;Aveiro;Público;CDE
Escola Básica Castro Matoso, Oliveirinha, Aveiro;40.601837;-8.6044035;Aveiro;Público;BCD
Escola Básica de Aradas, Aveiro;40.61149;-8.639899;Aveiro;Público;CD
Escola Secundária Dr. Mário Sacramento, Aveiro;40.63575;-8.645474;Aveiro;Público;DE
Escola Básica n.º 2 de São Bernardo, Aveiro;40.623318;-8.636745;Aveiro;Público;BCD
Escola Secundária José Estevão, Aveiro;40.638126;-8.647857;Aveiro;Público;DE
Escola Básica Rio Novo do Príncipe, Cacia, Aveiro;40.681038;-8.599328;Aveiro;Público;CD
Academia de Música de Castelo de Paiva;41.039948;-8.274665;Aveiro;Privado;M
Escola Básica e Secundária de Castelo de Paiva;41.04035;-8.258843;Aveiro;Público;ABCDE
