Tipo;Nome;Lat;Lon
Telepizza;Telepizza 5 de Outubro;38.74334;-9.14906
Telepizza;Telepizza Aboboda;38.72992;-9.33605
Telepizza;Telepizza Abrantes;39.4631;-8.20387
Telepizza;Telepizza Albufeira;37.09174;-8.24325
Telepizza;Telepizza Alcochete;38.75376;-8.95899
Telepizza;Telepizza Almada;38.6819;-9.15229
Telepizza;Telepizza Almirante Reis;38.73175;-9.13509
Telepizza;Telepizza Alverca do Ribatejo;38.90421;-9.03923
Telepizza;Telepizza Amadora;38.76201;-9.24011
Telepizza;Telepizza Amarante;41.27205;-8.07202
Telepizza;Telepizza Amial;41.1754;-8.61385
Telepizza;Telepizza Antas;41.1562;-8.59444
Telepizza;Telepizza Areeiro;38.74204;-9.13393
Telepizza;Telepizza Areosa;41.17455;-8.585092
Telepizza;Telepizza Arrentela;38.62227;-9.09852
Telepizza;Telepizza Arruda dos Vinhos;38.99809;-9.08473
Telepizza;Telepizza Aveiro;40.64088;-8.65544
Telepizza;Telepizza Baixa da Banheira;38.6611;-9.05017
Telepizza;Telepizza Barcelos;41.53299;-8.619727
Telepizza;Telepizza Barreiro;38.65451;-9.06784
Telepizza;Telepizza Beja;38.01956;-7.85213
Telepizza;Telepizza Belas;38.77572;-9.263601
Telepizza;Telepizza Belem;38.69749;-9.19834
Telepizza;Telepizza Benavente;38.96081;-8.818845
Telepizza;Telepizza Benfica;38.75607;-9.20538
Telepizza;Telepizza Boavista;41.16183;-8.64363
Telepizza;Telepizza Bobadela;38.80881;-9.0996
Telepizza;Telepizza Braamcamp;38.72285;-9.15141
Telepizza;Telepizza Braga;41.54502;-8.41878
Telepizza;Telepizza Bragaretail;41.5648;-8.40634
Telepizza;Telepizza Bragashopping;41.55193;-8.42195
Telepizza;Telepizza Cacem;38.76785;-9.29644
Telepizza;Telepizza Cais do Sodre;38.70655;-9.1428
Telepizza;Telepizza Caldas da Rainha;39.40097;-9.13747
Telepizza;Telepizza Campera Carregado;39.02824;-8.96688
Telepizza;Telepizza Campo de Ourique;38.71941;-9.16473
Telepizza;Telepizza Canedo;41.00567;-8.46585
Telepizza;Telepizza Cantanhede;40.34965;-8.59196
Telepizza;Telepizza Carregado;39.02855;-8.98089
Telepizza;Telepizza Carvalhos;41.06899;-8.57704
Telepizza;Telepizza Casal de Cambra;38.80242;-9.22941
Telepizza;Telepizza Castelo Branco;39.81883;-7.49348
Telepizza;Telepizza Charneca da Caparica;38.60949;-9.1881
Telepizza;Telepizza Coimbra - Solum;40.20014;-8.40456
Telepizza;Telepizza Corroios;38.64141;-9.15107
